round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
17,0.053771266486396914,0.976618299769956,0.04029794319692896,0.9824040831592606,0.001,128,150,1,836
15,0.0756349539930537,0.9681920841783129,0.07197733854983702,0.9697431191338484,0.001,128,150,1,107
20,0.05630558400261882,0.9759161151351327,0.04460300399334721,0.9805765654588674,0.001,128,150,1,346
14,0.06602306844894988,0.9718497324864294,0.05968986459291817,0.9744337478981909,0.001,128,150,1,242
19,0.05486068622815963,0.9761624037771245,0.04291798548060087,0.9813776601354197,0.001,128,150,1,400
24,0.05276582609755269,0.9769536715347974,0.03858648587481947,0.9830682777643498,0.001,128,150,1,319
15,0.05977928412318258,0.97446982440144,0.05071516367717397,0.9780691325710551,0.001,128,150,1,388
11,0.06131506763368155,0.9728034459448838,0.052483421569749965,0.9772339766326643,0.001,128,150,1,993
17,0.05424063258989632,0.9766654614243868,0.04059933395434732,0.9823005893253316,0.001,128,150,1,910
14,0.06043822475207438,0.9739982078571316,0.05302385572849106,0.977098386609771,0.001,128,150,1,347
18,0.05559848122729102,0.9760890412035654,0.04387295642151747,0.9809014574944929,0.001,128,150,1,461
19,0.05450766635764259,0.9765449371942104,0.039657469694941376,0.982635961749203,0.001,128,150,1,610
19,0.05436589494159876,0.9764768148066634,0.03960757880866382,0.9827047392970673,0.001,128,150,1,594
18,0.054732361940299616,0.9764034522331043,0.04220531230385738,0.9815898879974009,0.001,128,150,1,485
14,0.07912327989310688,0.9670811652050891,0.07545836006128903,0.9682503188330611,0.001,128,150,1,108
15,0.056364488262794485,0.976005198262355,0.04371345073741417,0.9809112828584735,0.001,128,150,1,976
20,0.05295299581733124,0.977184239623126,0.03649503985122063,0.9840514691866761,0.001,128,150,1,790
19,0.054468301822397626,0.9764558540713608,0.04024195110203251,0.9824748257799211,0.001,128,150,1,592
16,0.05468889257419231,0.9764872951743148,0.04348699011852707,0.9810246020563832,0.001,128,150,1,638
11,0.06007196741299966,0.9738672032593041,0.052717437064416894,0.9771671641575962,0.001,128,150,1,909
