round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
23,0.06815254299340001,0.9705187257969009,0.08843624652593123,0.962710778620794,1,128,150,0.2,3,319,<function tanh at 0x7f2202acb620>,adam
27,0.03361542518459106,0.9839440767582127,0.05054867279509547,0.9774272087909497,1,128,150,0.4,3,319,<function tanh at 0x7f2202acb620>,adam
15,0.031823675950618,0.98392311602291,0.04149987594581503,0.9807311511854957,1,128,150,0.6,3,319,<function tanh at 0x7f2202acb620>,adam
10,0.03250200660841265,0.9835563031551147,0.03639683992255875,0.9826215512153648,1,128,150,0.8,3,319,<function tanh at 0x7f2202acb620>,adam
23,0.03164311954025324,0.9843056494421825,0.043587221923324704,0.9799503622611699,1,128,150,0.5,3,319,<function tanh at 0x7f2202acb620>,adam
16,0.030229727042431025,0.9843318503613107,0.034525286496740054,0.9834442616926744,1,128,150,0.7,3,319,<function tanh at 0x7f234a07b620>,adam
15,0.10865356289016043,0.9535824516702183,0.13204804384060517,0.9456834228423991,1,128,150,0.1,3,319,<function tanh at 0x7f234a07b620>,adam
8,0.03402489724821534,0.9829798829342933,0.02882161417828308,0.9857014753111529,1,128,150,1.0,3,319,<function tanh at 0x7f234a07b620>,adam
34,0.04193378576962256,0.9807632851760439,0.06080794271728128,0.9734813426163372,1,128,150,0.3,3,319,<function tanh at 0x7f234a07b620>,adam
9,0.03323561971238498,0.9831790099174816,0.03269192174457666,0.9841195917102749,1,128,150,0.9,3,319,<function tanh at 0x7f234a07b620>,adam
