round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
32,0.14035130150351735,0.941404269109206,0.13887645671930568,0.9424358166701728,0.001,547,150,1,27
17,0.15480622293629662,0.9352784938375306,0.15268517671341783,0.9367161449424253,0.001,343,150,1,27
21,0.1106483183242692,0.9544051578119316,0.1086707758085598,0.954896336447823,0.001,97,150,1,27
9,0.21372032099654986,0.9099946047370655,0.209871600256592,0.9118501091826965,0.001,669,150,1,27
32,0.1587204430450161,0.93321910272753,0.15750100959976904,0.9342087138652084,0.001,749,150,1,27
23,0.1840205163089678,0.9227596907550745,0.18210299924385917,0.9238625993278156,0.001,924,150,1,27
25,0.1748224737816663,0.9269780362990998,0.173173000948389,0.9276728735771114,0.001,1020,150,1,27
25,0.15548515910918528,0.9347544727791549,0.1525560858446031,0.936247799718414,0.001,471,150,1,27
21,0.13817043795773373,0.9427667004173573,0.13579245604593357,0.9437510897057806,0.001,170,150,1,27
16,0.19261542916952887,0.919070600947021,0.19046293532462752,0.9196429339325776,0.001,798,150,1,27
