round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
15,0.10834987276322393,0.955039222775935,0.10916491557888408,0.9543801800138076,1,32,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
17,0.1038541699722977,0.9570095312116051,0.10421484889168531,0.9570114116645257,1,50,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.12361394167394618,0.9477186802969235,0.12345088244180401,0.9482314616051672,1,52,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.1093953227759667,0.9549239334632315,0.10787013155585456,0.9549991727072313,1,60,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.11014766209735817,0.9553641141753115,0.10808746025547734,0.955635206506225,1,64,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
23,0.11704468447384647,0.950794669110862,0.11586278839198474,0.9517247067954815,1,68,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.11536111581740505,0.9523352826071348,0.11200861383574988,0.9541456760850373,1,68,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
18,0.12242705006151747,0.9487719645393138,0.11986965159485623,0.9505358446736405,1,75,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
14,0.1309827821481394,0.9452243617353778,0.1291336928902928,0.9459329903099956,1,85,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.1106483183242692,0.9544051578119316,0.1086707758085598,0.954896336447823,1,97,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
19,0.12540493990172613,0.9480435791512144,0.12415644423638345,0.9486788501879889,1,100,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.12366834332305683,0.9489187022430964,0.12214258802653476,0.949438036215295,1,101,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
25,0.10517942940165964,0.9574916288153964,0.10600045057918103,0.9564618471291659,1,128,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.13330021866024439,0.9449990185303099,0.1315531758977425,0.9454973842198193,1,130,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.14180532524452424,0.9412522972509956,0.14040866789504453,0.9414578592856329,1,139,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.13103919551480026,0.9452977211580581,0.12915263549132805,0.9465290586727669,1,149,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
22,0.11416171028388092,0.9531789524610566,0.11446817117494816,0.9530170691219316,1,150,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.13817043795773373,0.9427667004173573,0.13579245604593357,0.9437510897057806,1,170,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
21,0.12922244542658892,0.9464453172789411,0.12898942355531015,0.9466895358560007,1,200,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
24,0.12440123384096433,0.9479073278101237,0.12395162460086812,0.9484273150943348,1,204,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
19,0.14440857424818973,0.9397431233509519,0.14067623641037424,0.9412456306181272,1,206,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
39,0.11054926219118999,0.9538182623570676,0.1095808579989729,0.9543153349807509,1,212,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
11,0.1803318547818837,0.9250234560628465,0.17608420569060934,0.9260222200528986,1,242,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
22,0.14987185731179042,0.9386636505855553,0.1487644069432448,0.938472917914137,1,245,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
18,0.14199328207196252,0.9406706348055237,0.13961530129502187,0.9416609151016249,1,252,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
30,0.11469253084491575,0.9526130176737175,0.11589751302054117,0.9523515698662092,1,256,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
26,0.14542447040406395,0.9396802473327979,0.1440545683902634,0.9397534907218945,1,294,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.15561171777109403,0.9352942114748819,0.15607300492968898,0.9350248696855643,1,300,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
20,0.15041709353385724,0.9367405046404483,0.15033992133944898,0.9368884157926161,1,315,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
7,0.20516388041302752,0.9139247383472433,0.20291397700065825,0.91512850377575,1,331,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
