round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
9,0.03330567219998625,0.9829432016475138,0.027841711781560842,0.9861829181462027,0.001,128,150,1.0,3,319,<function tanh at 0x7fd0c39bf620>,adam
7,0.03496754821607819,0.982896039993083,0.030694953477609536,0.9848224327470211,0.001,128,150,1.0,4,319,<function tanh at 0x7fd0c39bf620>,adam
13,0.03055460393364002,0.9845100166113827,0.025081185971553753,0.9870704760257843,0.001,128,150,1.0,8,319,<function tanh at 0x7fd0c39bf620>,adam
4,0.05584228995271299,0.9742392563131115,0.04839784465064676,0.9778791755340577,0.001,128,150,1.0,5,319,<function tanh at 0x7fd0c39bf620>,adam
8,0.03080449001692593,0.9843894923833928,0.02876248887058941,0.9854047493189385,0.001,128,150,1.0,9,319,<function tanh at 0x7fd0c39bf620>,adam
17,0.0583846061213397,0.9751877295855539,0.049056362220879016,0.9787903142871928,0.001,128,150,1.0,1,319,<function tanh at 0x7fd0c39bf620>,adam
9,0.0301670811546157,0.9847196239644087,0.02781324990509837,0.9857971088538975,0.001,128,150,1.0,10,319,<function tanh at 0x7fd0c39bf620>,adam
5,0.04136430374843805,0.9807632851760439,0.037242974568274335,0.9822337768502634,0.001,128,150,1.0,7,319,<function tanh at 0x7fd0c39bf620>,adam
8,0.040549143933151434,0.9811877400659215,0.03423234420935198,0.9841064912249674,0.001,128,150,1.0,2,319,<function tanh at 0x7fd0c39bf620>,adam
6,0.03657534067315339,0.98239822252746,0.03508598085200248,0.9829143470619869,0.001,128,150,1.0,6,319,<function tanh at 0x7fd0c39bf620>,adam
