round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
7,0.2558913837572912,0.8927439174391334,0.2575881176182836,0.8916747070895632,1,128,150,1.0,1,3,<function tanh at 0x7fd0c39bf620>,adam
7,0.2173442902287389,0.9102042099483809,0.2176314025986147,0.9093236808957588,1,128,150,1.0,1,9,<function tanh at 0x7fd0c39bf620>,adam
17,0.13579434279007116,0.9435737005566703,0.13444001942006473,0.9438545950935143,1,128,150,1.0,1,27,<function tanh at 0x7fd0c39bf620>,adam
15,0.12073991651613475,0.9504750226594223,0.1207305277563783,0.9500596399594013,1,128,150,1.0,1,30,<function tanh at 0x7fd0c39bf620>,adam
24,0.08130906387058431,0.9659178443957951,0.07935786023802793,0.9668341563713228,1,128,150,1.0,1,50,<function tanh at 0x7fd0c39bf620>,adam
18,0.07729605350338456,0.9680034375540305,0.07457171912688386,0.9690134221022217,1,128,150,1.0,1,75,<function tanh at 0x7fd0c39bf620>,adam
10,0.09491914335176628,0.9610287528864649,0.09208318052638,0.9618520418089278,1,128,150,1.0,1,80,<function tanh at 0x7fd0c39bf620>,adam
13,0.08425890238699489,0.964859327263014,0.08057473214472552,0.9665328452092898,1,128,150,1.0,1,90,<function tanh at 0x7fd0c39bf620>,adam
19,0.07021239423477925,0.9701781138438611,0.06505250962919078,0.9724653999807423,1,128,150,1.0,1,100,<function tanh at 0x7fd0c39bf620>,adam
15,0.0756349539930537,0.9681920841783129,0.07197733854983702,0.9697431191338484,1,128,150,1.0,1,107,<function tanh at 0x7fd0c39bf620>,adam
14,0.07912327989310688,0.9670811652050891,0.07545836006128903,0.9682503188330611,1,128,150,1.0,1,108,<function tanh at 0x7fd0c39bf620>,adam
11,0.08362636309739746,0.9651160962704709,0.07898403284864725,0.9672998786240427,1,128,150,1.0,1,125,<function tanh at 0x7fd0c39bf620>,adam
17,0.06901227525710525,0.9706654509396464,0.061492377923174135,0.9736654044349463,1,128,150,1.0,1,150,<function tanh at 0x7fd0c39bf620>,adam
16,0.06337219046561768,0.9729711318273045,0.05803239532962291,0.9750651912900113,1,128,150,1.0,1,175,<function tanh at 0x7fd0c39bf620>,adam
11,0.07600878246382452,0.9679667562694373,0.07148319024771997,0.9699042551031303,1,128,150,1.0,1,200,<function tanh at 0x7fd0c39bf620>,adam
14,0.06602306844894988,0.9718497324864294,0.05968986459291817,0.9744337478981909,1,128,150,1.0,1,242,<function tanh at 0x7fd0c39bf620>,adam
17,0.06015391613743391,0.9744069421933459,0.052057664865824804,0.9775817945175779,1,128,150,1.0,1,250,<function tanh at 0x7fd0c39bf620>,adam
